  [5/144] seed 1 baseline   retention 0.15  err after 0.9978
  [6/144] seed 1 cue        retention 0.46  err after 0.9554
  [9/144] seed 2 baseline   retention 0.49  err after 0.9345
  [8/144] seed 1 cue+ctx    retention 0.81  err after 0.9175
  [2/144] seed 0 cue        retention 0.40  err after 0.9121
  [3/144] seed 0 ctx        retention 0.07  err after 1.0183
  [1/144] seed 0 baseline   retention 0.45  err after 0.9003
  [10/144] seed 2 cue        retention 0.70  err after 0.9111
  [13/144] seed 3 baseline   retention 0.16  err after 0.9858
  [11/144] seed 2 ctx        retention -0.10  err after 1.0077
  [12/144] seed 2 cue+ctx    retention -0.12  err after 1.0106
  [4/144] seed 0 cue+ctx    retention 0.09  err after 1.0154
  [7/144] seed 1 ctx        retention 0.59  err after 0.9487
  [14/144] seed 3 cue        retention 0.05  err after 1.0019
