  [10/144] seed 2 w75      err after 1.0921  taught 1.0554
  [4/144] seed 0 w25      err after 1.2553  taught 1.0757
  [11/144] seed 2 w50      err after 1.1214  taught 1.0599
  [7/144] seed 1 w50      err after 1.1357  taught 1.0672
  [3/144] seed 0 w50      err after 1.1809  taught 1.0668
  [12/144] seed 2 w25      err after 1.1392  taught 1.0673
  [8/144] seed 1 w25      err after 1.1565  taught 1.0784
  [2/144] seed 0 w75      err after 1.1377  taught 1.0656
  [14/144] seed 3 w75      err after 1.1243  taught 1.0547
  [6/144] seed 1 w75      err after 1.1067  taught 1.0405
  [13/144] seed 3 w100     err after 0.9858  taught 0.8640
  [5/144] seed 1 w100     err after 0.9978  taught 0.8802
  [1/144] seed 0 w100     err after 0.9003  taught 0.7850
  [9/144] seed 2 w100     err after 0.9345  taught 0.8766
  [19/144] seed 4 w50      err after 1.1209  taught 1.0543
  [23/144] seed 5 w50      err after 1.1422  taught 1.0678
  [15/144] seed 3 w50      err after 1.1248  taught 1.0519
  [18/144] seed 4 w75      err after 1.1053  taught 1.0714
  [20/144] seed 4 w25      err after 1.1410  taught 1.0608
  [26/144] seed 6 w75      err after 1.1196  taught 1.0367
  [16/144] seed 3 w25      err after 1.0881  taught 1.0632
  [17/144] seed 4 w100     err after 0.9124  taught 0.8504
  [22/144] seed 5 w75      err after 1.1054  taught 1.0475
  [21/144] seed 5 w100     err after 1.0454  taught 0.8725
  [28/144] seed 6 w25      err after 1.0903  taught 1.0573
  [27/144] seed 6 w50      err after 1.1120  taught 1.0444
  [24/144] seed 5 w25      err after 1.1683  taught 1.0632
  [25/144] seed 6 w100     err after 0.9829  taught 0.8315
  [30/144] seed 7 w75      err after 1.1391  taught 1.0547
  [32/144] seed 7 w25      err after 1.1391  taught 1.0501
  [31/144] seed 7 w50      err after 1.1345  taught 1.0518
  [29/144] seed 7 w100     err after 0.9865  taught 0.8798
  [33/144] seed 8 w100     err after 0.9887  taught 0.8273
  [39/144] seed 9 w50      err after 1.2029  taught 1.0654
  [38/144] seed 9 w75      err after 1.1563  taught 1.0570
  [40/144] seed 9 w25      err after 1.2040  taught 1.0714
  [36/144] seed 8 w25      err after 1.1271  taught 1.0681
  [42/144] seed 10 w75      err after 1.1142  taught 1.0498
  [34/144] seed 8 w75      err after 1.1043  taught 1.0668
  [35/144] seed 8 w50      err after 1.0940  taught 1.0625
  [37/144] seed 9 w100     err after 1.0438  taught 0.8980
  [41/144] seed 10 w100     err after 0.9107  taught 0.8402
  [43/144] seed 10 w50      err after 1.0987  taught 1.0509
  [46/144] seed 11 w75      err after 1.1472  taught 1.0616
  [44/144] seed 10 w25      err after 1.1405  taught 1.0616
  [47/144] seed 11 w50      err after 1.1592  taught 1.0852
  [48/144] seed 11 w25      err after 1.1516  taught 1.0669
  [50/144] seed 12 w75      err after 1.0581  taught 1.0458
  [45/144] seed 11 w100     err after 0.9628  taught 0.8391
  [51/144] seed 12 w50      err after 1.1586  taught 1.0296
  [49/144] seed 12 w100     err after 0.9712  taught 0.8786
  [54/144] seed 13 w75      err after 1.1151  taught 1.0891
  [56/144] seed 13 w25      err after 1.2145  taught 1.0953
  [52/144] seed 12 w25      err after 1.1152  taught 1.0314
  [55/144] seed 13 w50      err after 1.1740  taught 1.0927
  [53/144] seed 13 w100     err after 0.9393  taught 0.8759
  [58/144] seed 14 w75      err after 1.1371  taught 1.0424
  [59/144] seed 14 w50      err after 1.0962  taught 1.0599
  [57/144] seed 14 w100     err after 0.9495  taught 0.8854
  [60/144] seed 14 w25      err after 1.1274  taught 1.0666
  [62/144] seed 15 w75      err after 1.1304  taught 1.0375
  [64/144] seed 15 w25      err after 1.1067  taught 1.0581
  [61/144] seed 15 w100     err after 0.9006  taught 0.8553
  [63/144] seed 15 w50      err after 1.1080  taught 1.0561
  [66/144] seed 16 w75      err after 1.1229  taught 1.0666
  [67/144] seed 16 w50      err after 1.1590  taught 1.0795
  [65/144] seed 16 w100     err after 0.9613  taught 0.9210
  [69/144] seed 17 w100     err after 0.9734  taught 0.8740
  [70/144] seed 17 w75      err after 1.1243  taught 1.0735
  [68/144] seed 16 w25      err after 1.1451  taught 1.0543
