  [14/144] seed 3 oracle   err after 1.0741  taught 1.0519
  [8/144] seed 1 random   err after 1.0535  taught 1.0613
  [12/144] seed 2 random   err after 1.0644  taught 1.0627
  [3/144] seed 0 derived  err after 1.0474  taught 0.9981
  [2/144] seed 0 oracle   err after 1.0841  taught 1.0668
  [4/144] seed 0 random   err after 1.0287  taught 1.0380
  [5/144] seed 1 off      err after 0.9978  taught 0.8802
  [11/144] seed 2 derived  err after 1.1281  taught 1.1171
  [7/144] seed 1 derived  err after 1.0868  taught 1.0601
  [1/144] seed 0 off      err after 0.9003  taught 0.7850
  [6/144] seed 1 oracle   err after 1.0854  taught 1.0672
  [9/144] seed 2 off      err after 0.9345  taught 0.8766
  [10/144] seed 2 oracle   err after 1.0831  taught 1.0599
  [13/144] seed 3 off      err after 0.9858  taught 0.8640
  [16/144] seed 3 random   err after 1.0430  taught 1.0422
  [15/144] seed 3 derived  err after 0.9952  taught 0.9285
  [22/144] seed 5 oracle   err after 1.0848  taught 1.0678
  [18/144] seed 4 oracle   err after 1.0832  taught 1.0543
  [20/144] seed 4 random   err after 1.0813  taught 1.0529
  [24/144] seed 5 random   err after 1.0251  taught 1.0180
  [21/144] seed 5 off      err after 1.0454  taught 0.8725
  [28/144] seed 6 random   err after 1.0652  taught 1.0165
  [17/144] seed 4 off      err after 0.9124  taught 0.8504
  [23/144] seed 5 derived  err after 0.9468  taught 0.8863
  [19/144] seed 4 derived  err after 1.0260  taught 0.9729
  [27/144] seed 6 derived  err after 1.0412  taught 0.9780
  [26/144] seed 6 oracle   err after 1.0773  taught 1.0444
  [25/144] seed 6 off      err after 0.9829  taught 0.8315
  [30/144] seed 7 oracle   err after 1.0755  taught 1.0518
  [36/144] seed 8 random   err after 1.0747  taught 1.0459
  [31/144] seed 7 derived  err after 1.0793  taught 1.0475
  [32/144] seed 7 random   err after 1.0606  taught 1.0116
  [29/144] seed 7 off      err after 0.9865  taught 0.8798
  [34/144] seed 8 oracle   err after 1.0863  taught 1.0625
  [40/144] seed 9 random   err after 1.0833  taught 1.0630
  [35/144] seed 8 derived  err after 1.1508  taught 1.1571
