  [7/144] seed 1 f2-taught  before 0.4804 taught 0.3990
  [2/144] seed 0 f1-none    before 0.6780 taught 0.6742
  [6/144] seed 1 f1-none    before 0.6689 taught 0.6649
  [10/144] seed 2 f1-none    before 0.6823 taught 0.6739
  [12/144] seed 2 f2-none    before 0.4950 taught 0.5028
  [14/144] seed 3 f1-none    before 0.6503 taught 0.6626
  [1/144] seed 0 f1-taught  before 0.6282 taught 0.4914
  [13/144] seed 3 f1-taught  before 0.6116 taught 0.4532
  [11/144] seed 2 f2-taught  before 0.4432 taught 0.2925
  [9/144] seed 2 f1-taught  before 0.6368 taught 0.4355
  [3/144] seed 0 f2-taught  before 0.4601 taught 0.3662
  [8/144] seed 1 f2-none    before 0.5240 taught 0.5189
  [5/144] seed 1 f1-taught  before 0.6037 taught 0.3746
  [4/144] seed 0 f2-none    before 0.5213 taught 0.5176
  [20/144] seed 4 f2-none    before 0.5071 taught 0.5042
  [17/144] seed 4 f1-taught  before 0.6047 taught 0.5282
  [24/144] seed 5 f2-none    before 0.5371 taught 0.5255
  [26/144] seed 6 f1-none    before 0.6694 taught 0.6696
  [21/144] seed 5 f1-taught  before 0.6330 taught 0.4727
  [15/144] seed 3 f2-taught  before 0.4630 taught 0.2813
  [16/144] seed 3 f2-none    before 0.5249 taught 0.5209
  [18/144] seed 4 f1-none    before 0.6446 taught 0.6593
  [19/144] seed 4 f2-taught  before 0.4483 taught 0.3346
  [22/144] seed 5 f1-none    before 0.6833 taught 0.6763
  [23/144] seed 5 f2-taught  before 0.4799 taught 0.3704
  [28/144] seed 6 f2-none    before 0.5143 taught 0.5105
  [25/144] seed 6 f1-taught  before 0.6161 taught 0.4494
  [27/144] seed 6 f2-taught  before 0.4684 taught 0.2772
  [30/144] seed 7 f1-none    before 0.6541 taught 0.6606
  [29/144] seed 7 f1-taught  before 0.5913 taught 0.4172
  [38/144] seed 9 f1-none    before 0.6641 taught 0.6698
  [33/144] seed 8 f1-taught  before 0.6247 taught 0.4575
  [35/144] seed 8 f2-taught  before 0.4657 taught 0.3121
  [31/144] seed 7 f2-taught  before 0.4864 taught 0.3169
  [34/144] seed 8 f1-none    before 0.6663 taught 0.6715
  [36/144] seed 8 f2-none    before 0.5214 taught 0.5169
  [32/144] seed 7 f2-none    before 0.5346 taught 0.5158
  [39/144] seed 9 f2-taught  before 0.4785 taught 0.3473
  [41/144] seed 10 f1-taught  before 0.6309 taught 0.5641
  [37/144] seed 9 f1-taught  before 0.6300 taught 0.4677
  [40/144] seed 9 f2-none    before 0.5248 taught 0.5226
  [42/144] seed 10 f1-none    before 0.6891 taught 0.6779
  [43/144] seed 10 f2-taught  before 0.4850 taught 0.2724
  [44/144] seed 10 f2-none    before 0.5314 taught 0.5203
  [46/144] seed 11 f1-none    before 0.6462 taught 0.6595
  [50/144] seed 12 f1-none    before 0.6648 taught 0.6703
  [47/144] seed 11 f2-taught  before 0.4624 taught 0.3680
  [52/144] seed 12 f2-none    before 0.4979 taught 0.5112
  [51/144] seed 12 f2-taught  before 0.4261 taught 0.2909
  [45/144] seed 11 f1-taught  before 0.5984 taught 0.4560
  [49/144] seed 12 f1-taught  before 0.5842 taught 0.3461
  [48/144] seed 11 f2-none    before 0.5084 taught 0.5133
  [53/144] seed 13 f1-taught  before 0.6076 taught 0.4622
  [54/144] seed 13 f1-none    before 0.6576 taught 0.6606
  [55/144] seed 13 f2-taught  before 0.4623 taught 0.2724
  [56/144] seed 13 f2-none    before 0.5097 taught 0.5052
  [57/144] seed 14 f1-taught  before 0.6074 taught 0.4588
  [58/144] seed 14 f1-none    before 0.6669 taught 0.6691
  [60/144] seed 14 f2-none    before 0.5159 taught 0.5173
  [59/144] seed 14 f2-taught  before 0.4636 taught 0.2650
  [64/144] seed 15 f2-none    before 0.5008 taught 0.5136
  [61/144] seed 15 f1-taught  before 0.6023 taught 0.3153
  [65/144] seed 16 f1-taught  before 0.5939 taught 0.4985
  [63/144] seed 15 f2-taught  before 0.4544 taught 0.2629
  [62/144] seed 15 f1-none    before 0.6670 taught 0.6705
  [66/144] seed 16 f1-none    before 0.6491 taught 0.6577
  [67/144] seed 16 f2-taught  before 0.4629 taught 0.3268
  [70/144] seed 17 f1-none    before 0.6695 taught 0.6736
  [68/144] seed 16 f2-none    before 0.5140 taught 0.5099
  [69/144] seed 17 f1-taught  before 0.6167 taught 0.4204
  [71/144] seed 17 f2-taught  before 0.4508 taught 0.3291
  [72/144] seed 17 f2-none    before 0.5094 taught 0.5070
  [74/144] seed 18 f1-none    before 0.6698 taught 0.6720
  [77/144] seed 19 f1-taught  before 0.6207 taught 0.5365
  [73/144] seed 18 f1-taught  before 0.6151 taught 0.4192
  [78/144] seed 19 f1-none    before 0.6691 taught 0.6716
  [79/144] seed 19 f2-taught  before 0.4419 taught 0.2900
  [82/144] seed 20 f1-none    before 0.6682 taught 0.6714
  [75/144] seed 18 f2-taught  before 0.4592 taught 0.3076
  [76/144] seed 18 f2-none    before 0.5062 taught 0.5102
  [80/144] seed 19 f2-none    before 0.5159 taught 0.5202
  [83/144] seed 20 f2-taught  before 0.4511 taught 0.3071
  [84/144] seed 20 f2-none    before 0.5013 taught 0.5042
  [81/144] seed 20 f1-taught  before 0.6092 taught 0.4502
  [85/144] seed 21 f1-taught  before 0.5995 taught 0.4435
  [86/144] seed 21 f1-none    before 0.6678 taught 0.6684
  [87/144] seed 21 f2-taught  before 0.4505 taught 0.2491
  [88/144] seed 21 f2-none    before 0.5185 taught 0.5099
  [89/144] seed 22 f1-taught  before 0.6332 taught 0.5345
  [94/144] seed 23 f1-none    before 0.6699 taught 0.6721
  [90/144] seed 22 f1-none    before 0.6750 taught 0.6724
  [92/144] seed 22 f2-none    before 0.5115 taught 0.5103
  [93/144] seed 23 f1-taught  before 0.6332 taught 0.4399
  [98/144] seed 24 f1-none    before 0.6501 taught 0.6648
  [95/144] seed 23 f2-taught  before 0.4616 taught 0.3255
  [91/144] seed 22 f2-taught  before 0.4497 taught 0.2313
  [96/144] seed 23 f2-none    before 0.5120 taught 0.5106
  [97/144] seed 24 f1-taught  before 0.5889 taught 0.4356
  [100/144] seed 24 f2-none    before 0.4999 taught 0.5073
  [99/144] seed 24 f2-taught  before 0.4440 taught 0.2642
  [101/144] seed 25 f1-taught  before 0.6155 taught 0.4751
