  [6/144] seed 1 b1.0-rnd   dF1 17.3  F1 sd 37.0  aligned 0.00513
  [10/144] seed 2 b1.0-rnd   dF1 29.8  F1 sd 40.9  aligned 0.00992
  [4/144] seed 0 b2.0-rnd   dF1 4.5  F1 sd 39.0  aligned 0.00284
  [1/144] seed 0 b1.0       dF1 55.1  F1 sd 59.0  aligned 0.02889
  [8/144] seed 1 b2.0-rnd   dF1 84.2  F1 sd 61.3  aligned 0.01854
  [14/144] seed 3 b1.0-rnd   dF1 13.1  F1 sd 36.8  aligned 0.00752
  [12/144] seed 2 b2.0-rnd   dF1 3.0  F1 sd 46.3  aligned 0.01302
  [13/144] seed 3 b1.0       dF1 44.7  F1 sd 48.3  aligned 0.02747
  [2/144] seed 0 b1.0-rnd   dF1 31.6  F1 sd 38.8  aligned 0.00534
  [11/144] seed 2 b2.0       dF1 60.7  F1 sd 64.9  aligned 0.01203
  [7/144] seed 1 b2.0       dF1 130.9  F1 sd 92.1  aligned 0.01227
  [5/144] seed 1 b1.0       dF1 64.0  F1 sd 67.4  aligned 0.00963
  [9/144] seed 2 b1.0       dF1 24.4  F1 sd 60.1  aligned 0.00562
  [3/144] seed 0 b2.0       dF1 102.8  F1 sd 85.6  aligned 0.00243
  [16/144] seed 3 b2.0-rnd   dF1 26.4  F1 sd 44.5  aligned 0.00703
  [20/144] seed 4 b2.0-rnd   dF1 44.6  F1 sd 51.0  aligned 0.00509
  [18/144] seed 4 b1.0-rnd   dF1 68.2  F1 sd 48.3  aligned 0.01465
  [26/144] seed 6 b1.0-rnd   dF1 14.7  F1 sd 36.1  aligned 0.00648
  [17/144] seed 4 b1.0       dF1 46.4  F1 sd 55.7  aligned 0.03482
  [22/144] seed 5 b1.0-rnd   dF1 18.4  F1 sd 36.8  aligned 0.00113
  [19/144] seed 4 b2.0       dF1 68.1  F1 sd 77.2  aligned 0.01920
  [15/144] seed 3 b2.0       dF1 63.8  F1 sd 74.1  aligned 0.00953
  [21/144] seed 5 b1.0       dF1 100.6  F1 sd 66.1  aligned 0.03372
  [25/144] seed 6 b1.0       dF1 50.3  F1 sd 60.6  aligned 0.01687
  [27/144] seed 6 b2.0       dF1 98.8  F1 sd 77.8  aligned 0.03341
  [24/144] seed 5 b2.0-rnd   dF1 34.9  F1 sd 46.5  aligned 0.00133
  [23/144] seed 5 b2.0       dF1 124.2  F1 sd 102.1  aligned 0.00484
  [28/144] seed 6 b2.0-rnd   dF1 11.9  F1 sd 40.3  aligned 0.00541
  [32/144] seed 7 b2.0-rnd   dF1 64.2  F1 sd 56.8  aligned 0.01019
  [35/144] seed 8 b2.0       dF1 30.3  F1 sd 58.6  aligned 0.00260
  [30/144] seed 7 b1.0-rnd   dF1 11.4  F1 sd 37.8  aligned 0.00249
  [33/144] seed 8 b1.0       dF1 53.4  F1 sd 47.8  aligned 0.02178
  [31/144] seed 7 b2.0       dF1 108.5  F1 sd 88.7  aligned 0.01739
  [36/144] seed 8 b2.0-rnd   dF1 14.7  F1 sd 45.9  aligned 0.00601
  [37/144] seed 9 b1.0       dF1 29.3  F1 sd 49.2  aligned 0.00274
  [34/144] seed 8 b1.0-rnd   dF1 0.6  F1 sd 39.3  aligned 0.00466
  [39/144] seed 9 b2.0       dF1 107.2  F1 sd 90.8  aligned 0.02295
  [40/144] seed 9 b2.0-rnd   dF1 72.6  F1 sd 64.6  aligned 0.01328
  [29/144] seed 7 b1.0       dF1 27.8  F1 sd 56.1  aligned 0.00201
  [38/144] seed 9 b1.0-rnd   dF1 35.6  F1 sd 40.7  aligned 0.00324
  [41/144] seed 10 b1.0       dF1 16.8  F1 sd 36.2  aligned 0.00594
  [42/144] seed 10 b1.0-rnd   dF1 8.4  F1 sd 33.1  aligned 0.00153
  [43/144] seed 10 b2.0       dF1 15.2  F1 sd 65.4  aligned 0.00710
  [44/144] seed 10 b2.0-rnd   dF1 6.2  F1 sd 43.4  aligned 0.00129
  [48/144] seed 11 b2.0-rnd   dF1 5.2  F1 sd 46.8  aligned 0.01836
  [50/144] seed 12 b1.0-rnd   dF1 40.1  F1 sd 46.7  aligned 0.00672
  [49/144] seed 12 b1.0       dF1 81.7  F1 sd 68.0  aligned 0.01967
  [46/144] seed 11 b1.0-rnd   dF1 12.5  F1 sd 38.8  aligned 0.00176
  [45/144] seed 11 b1.0       dF1 21.8  F1 sd 44.8  aligned 0.00640
  [47/144] seed 11 b2.0       dF1 117.4  F1 sd 80.8  aligned 0.00728
  [51/144] seed 12 b2.0       dF1 63.7  F1 sd 68.4  aligned 0.01553
  [52/144] seed 12 b2.0-rnd   dF1 18.4  F1 sd 46.3  aligned 0.00348
  [53/144] seed 13 b1.0       dF1 50.7  F1 sd 54.3  aligned 0.02567
  [54/144] seed 13 b1.0-rnd   dF1 55.2  F1 sd 48.1  aligned 0.01314
  [56/144] seed 13 b2.0-rnd   dF1 24.4  F1 sd 50.9  aligned 0.00173
  [55/144] seed 13 b2.0       dF1 53.2  F1 sd 86.4  aligned 0.00120
  [57/144] seed 14 b1.0       dF1 113.6  F1 sd 86.8  aligned 0.02740
  [59/144] seed 14 b2.0       dF1 85.0  F1 sd 73.8  aligned 0.01216
  [62/144] seed 15 b1.0-rnd   dF1 26.7  F1 sd 44.1  aligned 0.01081
  [58/144] seed 14 b1.0-rnd   dF1 50.3  F1 sd 43.2  aligned 0.00833
  [63/144] seed 15 b2.0       dF1 52.4  F1 sd 95.9  aligned 0.00626
  [60/144] seed 14 b2.0-rnd   dF1 33.4  F1 sd 45.4  aligned 0.00977
  [65/144] seed 16 b1.0       dF1 53.3  F1 sd 53.4  aligned 0.01618
  [64/144] seed 15 b2.0-rnd   dF1 5.7  F1 sd 47.7  aligned 0.00072
  [66/144] seed 16 b1.0-rnd   dF1 26.9  F1 sd 54.0  aligned 0.01618
  [61/144] seed 15 b1.0       dF1 82.3  F1 sd 71.9  aligned 0.02298
  [67/144] seed 16 b2.0       dF1 89.4  F1 sd 66.5  aligned 0.02584
  [68/144] seed 16 b2.0-rnd   dF1 76.1  F1 sd 64.5  aligned 0.00136
  [70/144] seed 17 b1.0-rnd   dF1 23.2  F1 sd 39.3  aligned 0.00004
  [69/144] seed 17 b1.0       dF1 104.5  F1 sd 72.4  aligned 0.02202
  [71/144] seed 17 b2.0       dF1 50.0  F1 sd 70.5  aligned 0.00012
  [73/144] seed 18 b1.0       dF1 107.4  F1 sd 68.7  aligned 0.02972
  [72/144] seed 17 b2.0-rnd   dF1 18.0  F1 sd 43.8  aligned 0.00170
  [75/144] seed 18 b2.0       dF1 80.1  F1 sd 66.3  aligned 0.03487
  [74/144] seed 18 b1.0-rnd   dF1 5.6  F1 sd 33.5  aligned 0.00560
  [78/144] seed 19 b1.0-rnd   dF1 3.6  F1 sd 37.3  aligned 0.00423
  [80/144] seed 19 b2.0-rnd   dF1 46.9  F1 sd 53.1  aligned 0.01161
  [81/144] seed 20 b1.0       dF1 91.8  F1 sd 61.6  aligned 0.03125
  [82/144] seed 20 b1.0-rnd   dF1 17.9  F1 sd 35.3  aligned 0.00526
  [79/144] seed 19 b2.0       dF1 144.4  F1 sd 113.1  aligned 0.01041
  [76/144] seed 18 b2.0-rnd   dF1 26.1  F1 sd 45.1  aligned 0.00133
  [77/144] seed 19 b1.0       dF1 34.2  F1 sd 59.4  aligned 0.01038
  [83/144] seed 20 b2.0       dF1 81.4  F1 sd 78.7  aligned 0.01845
  [84/144] seed 20 b2.0-rnd   dF1 5.8  F1 sd 45.5  aligned 0.00831
  [86/144] seed 21 b1.0-rnd   dF1 23.7  F1 sd 40.6  aligned 0.01270
  [85/144] seed 21 b1.0       dF1 77.8  F1 sd 70.3  aligned 0.03451
  [88/144] seed 21 b2.0-rnd   dF1 30.2  F1 sd 51.3  aligned 0.02134
  [87/144] seed 21 b2.0       dF1 75.8  F1 sd 83.0  aligned 0.02841
  [90/144] seed 22 b1.0-rnd   dF1 26.9  F1 sd 40.1  aligned 0.00672
  [89/144] seed 22 b1.0       dF1 102.1  F1 sd 86.6  aligned 0.00935
  [93/144] seed 23 b1.0       dF1 32.2  F1 sd 57.3  aligned 0.02728
  [91/144] seed 22 b2.0       dF1 71.9  F1 sd 72.5  aligned 0.01456
  [92/144] seed 22 b2.0-rnd   dF1 12.9  F1 sd 42.6  aligned 0.00098
  [94/144] seed 23 b1.0-rnd   dF1 31.6  F1 sd 35.1  aligned 0.00676
  [96/144] seed 23 b2.0-rnd   dF1 29.9  F1 sd 44.9  aligned 0.00229
  [95/144] seed 23 b2.0       dF1 65.1  F1 sd 95.0  aligned 0.00312
  [98/144] seed 24 b1.0-rnd   dF1 26.8  F1 sd 36.2  aligned 0.00844
  [97/144] seed 24 b1.0       dF1 75.4  F1 sd 68.1  aligned 0.00928
  [101/144] seed 25 b1.0       dF1 59.6  F1 sd 65.6  aligned 0.03234
  [100/144] seed 24 b2.0-rnd   dF1 35.9  F1 sd 46.9  aligned 0.00021
  [102/144] seed 25 b1.0-rnd   dF1 24.8  F1 sd 39.1  aligned 0.00331
  [99/144] seed 24 b2.0       dF1 105.3  F1 sd 92.5  aligned 0.02308
  [103/144] seed 25 b2.0       dF1 66.3  F1 sd 73.9  aligned 0.00238
  [104/144] seed 25 b2.0-rnd   dF1 32.6  F1 sd 44.3  aligned 0.01002
  [106/144] seed 26 b1.0-rnd   dF1 35.7  F1 sd 38.7  aligned 0.00478
  [105/144] seed 26 b1.0       dF1 67.7  F1 sd 68.0  aligned 0.02941
  [108/144] seed 26 b2.0-rnd   dF1 23.9  F1 sd 42.5  aligned 0.00797
  [109/144] seed 27 b1.0       dF1 64.0  F1 sd 53.1  aligned 0.01724
  [110/144] seed 27 b1.0-rnd   dF1 30.4  F1 sd 38.9  aligned 0.01431
  [107/144] seed 26 b2.0       dF1 103.3  F1 sd 81.5  aligned 0.00831
  [111/144] seed 27 b2.0       dF1 90.6  F1 sd 74.4  aligned 0.03133
  [112/144] seed 27 b2.0-rnd   dF1 22.7  F1 sd 49.2  aligned 0.01526
